Restaurant Name,Match Score,Has App?,App Name Found,Location Link
New Altaf Restaurant & Shinwari Tikka,56,FALSE,N/A,https://www.google.com/maps/place/New+Altaf+Restaurant+%26+Shinwari+Tikka/data=!4m7!3m6!1s0x38df949bbe2b16f1:0xa955cfccd8a15fb4!8m2!3d33.5992219!4d73.0564152!16s%2Fg%2F11y2p_q04!19sChIJ8RYrvpuU3zgRtF-h2MzPVak?authuser=0&hl=en&rclk=1
Desi Dera,56,FALSE,N/A,https://www.google.com/maps/place/Desi+Dera/data=!4m7!3m6!1s0x38df95f3b795ade5:0x59643041ccb898c0!8m2!3d33.5984735!4d73.0187664!16s%2Fg%2F11mv9bv0sj!19sChIJ5a2Vt_OV3zgRwJi4zEEwZFk?authuser=0&hl=en&rclk=1
Ox & Grill Steak House,56,FALSE,N/A,https://www.google.com/maps/place/Ox+%26+Grill+Steak+House/data=!4m7!3m6!1s0x38df949e901fdc25:0x92bebcb2410801ba!8m2!3d33.5961!4d73.059181!16s%2Fg%2F11g7z4ngnc!19sChIJJdwfkJ6U3zgRugEIQbK8vpI?authuser=0&hl=en&rclk=1
Tasty Hot n Food Shinwari,55,FALSE,N/A,https://www.google.com/maps/place/Tasty+Hot+n+Food+Shinwari/data=!4m7!3m6!1s0x38df948483aa82cd:0x6e46521d2c551a89!8m2!3d33.5971034!4d73.0499354!16s%2Fg%2F11c6cj95yz!19sChIJzYKqg4SU3zgRiRpVLB1SRm4?authuser=0&hl=en&rclk=1
Fatima's kitchen (Home-Chef),55,FALSE,N/A,https://www.google.com/maps/place/Fatima%27s+kitchen+%28Home-Chef%29/data=!4m7!3m6!1s0x38df95ecc570cd4d:0xf008ae3f31226975!8m2!3d33.5948932!4d73.0151571!16s%2Fg%2F11lbhbss0l!19sChIJTc1wxeyV3zgRdWkiMT-uCPA?authuser=0&hl=en&rclk=1
Spicy Bite Rawalpindi,52,FALSE,N/A,https://www.google.com/maps/place/Spicy+Bite+Rawalpindi/data=!4m7!3m6!1s0x38df95b5d8cedba9:0xaecb0309e9b728da!8m2!3d33.6010949!4d73.0008638!16s%2Fg%2F11r3lh5ngk!19sChIJqdvO2LWV3zgR2ii36QkDy64?authuser=0&hl=en&rclk=1
Stone Ove Pizza Valley,52,FALSE,N/A,https://www.google.com/maps/place/Stone+Ove+Pizza+Valley/data=!4m7!3m6!1s0x38df95e2fcebf1f9:0x5b88b88badbea59f!8m2!3d33.5963176!4d73.0503046!16s%2Fg%2F11v63dxf1r!19sChIJ-fHr_OKV3zgRn6W-rYu4iFs?authuser=0&hl=en&rclk=1
Savour Foods,50,FALSE,N/A,https://www.google.com/maps/place/Savour+Foods/data=!4m7!3m6!1s0x38dfecc185ee4d0f:0x58e58360a093e84e!8m2!3d33.610497!4d73.0624042!16s%2Fg%2F1td2s83p!19sChIJD03uhcHs3zgRTuiToGCD5Vg?authuser=0&hl=en&rclk=1
Dhaba De Baltistan,50,FALSE,N/A,https://www.google.com/maps/place/Dhaba+De+Baltistan/data=!4m7!3m6!1s0x38df935615718239:0xe56688e0e82acbf1!8m2!3d33.5938908!4d73.0559369!16s%2Fg%2F11sf9sdtb_!19sChIJOYJxFVaT3zgR8csq6OCIZuU?authuser=0&hl=en&rclk=1
New Khyber Grill Shanwari,47,FALSE,N/A,https://www.google.com/maps/place/New+Khyber+Grill+Shanwari/data=!4m7!3m6!1s0x38df949c2be5bd91:0x3ae0b94d7252684b!8m2!3d33.5959141!4d73.0582216!16s%2Fg%2F11c30xzzsr!19sChIJkb3lK5yU3zgRS2hSck254Do?authuser=0&hl=en&rclk=1
Baoo Ji Murgh Palao & Restaurant,46,FALSE,N/A,https://www.google.com/maps/place/Baoo+Ji+Murgh+Palao+%26+Restaurant/data=!4m7!3m6!1s0x38df94847f5b9e5d:0x708870a5f1b8d11d!8m2!3d33.5966995!4d73.0491377!16s%2Fg%2F12mkz60fc!19sChIJXZ5bf4SU3zgRHdG48aVwiHA?authuser=0&hl=en&rclk=1
FARNAJ Cuisine,46,FALSE,N/A,https://www.google.com/maps/place/FARNAJ+Cuisine/data=!4m7!3m6!1s0x38dfedbe78af8cd1:0xef83188c8a1b789f!8m2!3d33.602349!4d73.0258248!16s%2Fg%2F11qgzwlcj0!19sChIJ0YyveL7t3zgRn3gbiowYg-8?authuser=0&hl=en&rclk=1
Chung Pa Chinese Restaurant,46,FALSE,N/A,https://www.google.com/maps/place/Chung+Pa+Chinese+Restaurant/data=!4m7!3m6!1s0x38df948450f9fba9:0x27391a206dab7bc6!8m2!3d33.5990746!4d73.0487569!16s%2Fg%2F11xgnhrfm!19sChIJqfv5UISU3zgRxnurbSAaOSc?authuser=0&hl=en&rclk=1
Chungpa Chinese Restaurant Rafay Mall,44,FALSE,N/A,https://www.google.com/maps/place/Chungpa+Chinese+Restaurant+Rafay+Mall/data=!4m7!3m6!1s0x38df94156b607ff9:0x9dd1efc1615b165d!8m2!3d33.6071663!4d73.014847!16s%2Fg%2F12mkz5wc7!19sChIJ-X9gaxWU3zgRXRZbYcHv0Z0?authuser=0&hl=en&rclk=1
Bagh-e-Zaitoon Gul-e-Iqra Plaza Saddar Rawalpindi,40,FALSE,N/A,https://www.google.com/maps/place/Bagh-e-Zaitoon+Gul-e-Iqra+Plaza+Saddar+Rawalpindi/data=!4m7!3m6!1s0x38df950073451cab:0x18cb7f30db2b271a!8m2!3d33.5970365!4d73.0604055!16s%2Fg%2F11md8mzjkw!19sChIJqxxFcwCV3zgRGicr2zB_yxg?authuser=0&hl=en&rclk=1
Aziz Mutton Tikka & Kabab Shop,39,FALSE,N/A,https://www.google.com/maps/place/Aziz+Mutton+Tikka+%26+Kabab+Shop/data=!4m7!3m6!1s0x38df949b0df25419:0xba80d04d1950cf8f!8m2!3d33.5994509!4d73.0542393!16s%2Fg%2F12mkw8mpb!19sChIJGVTyDZuU3zgRj89QGU3QgLo?authuser=0&hl=en&rclk=1
Muhammadi Nahari House,36,FALSE,N/A,https://www.google.com/maps/place/Muhammadi+Nahari+House/data=!4m7!3m6!1s0x38df949d043e566b:0x1a6a843b824b50fc!8m2!3d33.5971253!4d73.0501725!16s%2Fg%2F11c5b1jqym!19sChIJa1Y-BJ2U3zgR_FBLgjuEaho?authuser=0&hl=en&rclk=1
Khan Baba Restaurant,35,FALSE,N/A,https://www.google.com/maps/place/Khan+Baba+Restaurant/data=!4m7!3m6!1s0x38df95b20cfea4b7:0x7d0dce3a967ca165!8m2!3d33.6077155!4d73.0132333!16s%2Fg%2F11q8vgvs3v!19sChIJt6T-DLKV3zgRZaF8ljrODX0?authuser=0&hl=en&rclk=1
